Date;Tavg temperatur (oC);RH_avg kelembapan (%);ss lama penyinaran matahari (jam);ff_avg kecepatan angin (Knot);RR curah hujan (mm);Price
21/03/2020;29,1;80;5,2;1;11,44;12050
22/03/2020;29,5;78;8,1;1;0;12050
23/03/2020;28,7;78;5,3;1;1,7;12050
24/03/2020;28,7;82;6,3;1;46,7;12050
25/03/2020;29,5;78;6,7;1;0;12050
26/03/2020;29,8;74;7,3;1;2,5;12050
27/03/2020;30;74;8,7;1;0;12050
28/03/2020;30;78;4,8;1;0;12050
29/03/2020;28,9;82;4,3;1;29,74;12050
30/03/2020;29,6;78;1;1;1,8;12050
31/03/2020;30,5;72;6,5;1;0;12050
01/04/2020;29,5;76;5,4;1;0;12050
02/04/2020;29,6;78;3,2;1;0;12050
03/04/2020;29,2;79;0,8;1;3,9;12050
04/04/2020;29,6;81;4,6;1;3,5;12050
05/04/2020;28,6;83;7,7;1;32,13;12050
06/04/2020;28;85;4,3;0;18,94;12050
07/04/2020;28,5;79;2,5;1;8,9;12050
08/04/2020;28,2;83;6,3;0;13,7;12050
09/04/2020;29,1;77;5,4;2;0,5;12050
10/04/2020;29,2;79;8,4;1;33,3;12050
11/04/2020;28,9;82;7,3;1;14,1;12050
12/04/2020;29,4;78;7,7;1;43,2;12050
13/04/2020;29,2;79;7,6;1;27;12050
14/04/2020;29;80;8,8;1;32,13;12050
15/04/2020;30,1;76;8,8;1;0,94;12100
16/04/2020;30,1;76;8,6;1;0;12100
17/04/2020;28,2;85;6,2;1;22,7;12100
18/04/2020;28,7;84;0,5;1;5,5;12100
19/04/2020;28,5;84;3,5;0;1;12100
20/04/2020;30,3;77;2,9;1;7,5;12100
21/04/2020;29,8;79;9,6;2;23;12100
22/04/2020;30,5;77;8,7;3;0;12100
23/04/2020;30,9;74;9,2;3;4,84;12100
24/04/2020;30,3;70;9;2;0;12100
25/04/2020;30,3;74;8,6;1;0;12100
26/04/2020;29,5;78;6,4;1;7;12100
27/04/2020;30;76;4,8;2;0;12100
28/04/2020;29,9;74;9;1;0;12100
29/04/2020;29,1;74;2,7;2;0;12100
30/04/2020;29,5;76;5,8;1;5;12100
01/05/2020;29,9;74;4;2;8,62;12100
02/05/2020;29,9;68;7,7;2;0;12100
03/05/2020;29,5;76;9,3;1;0,8;12100
04/05/2020;29,8;74;5;2;1;12100
05/05/2020;30,6;76;8,6;1;0;12100
06/05/2020;30,5;74;5;2;0;12100
07/05/2020;29,9;76;9,1;2;0;12100
08/05/2020;30,6;74;9,5;2;3,04;12100
09/05/2020;29;80;8,8;2;0,8;12100
10/05/2020;29,4;79;4,7;1;12,3;12100
11/05/2020;29,1;79;6,7;2;0,5;12100
12/05/2020;29,8;74;3,7;2;7,32;12100
13/05/2020;30,4;68;7,8;2;0;12000
14/05/2020;29,8;72;9,6;2;0;12000
15/05/2020;29,6;72;7,1;2;0;12000
16/05/2020;30,1;73;7,9;2;0;12000
17/05/2020;30,4;72;9,5;2;0,52;12000
18/05/2020;29,2;78;8,4;1;0;12000
19/05/2020;29,5;77;1,5;1;0,1;12000
20/05/2020;29,2;78;7;1;6,02;12000
21/05/2020;27,7;88;6,4;0;6,7;12000
22/05/2020;29,2;82;0,5;1;13,3;12000
23/05/2020;30,1;79;7,6;1;13,3;12000
24/05/2020;29,8;76;9,8;1;0,94;12000
25/05/2020;30,2;74;9,6;1;0;12000
26/05/2020;29;82;8,6;1;11;12000
27/05/2020;28,6;82;3,8;1;19,3;12050
28/05/2020;26,7;89;1,2;1;25,36;12050
29/05/2020;27,9;80;2;1;17,1;12050
30/05/2020;29,2;79;5,7;1;0;12050
31/05/2020;29;82;7,7;1;0;12050
01/06/2020;28,2;85;0,6;0;1,5;12050
02/06/2020;28,6;76;0,3;1;13,6;12050
03/06/2020;29;76;2,6;3;0;12000
04/06/2020;28,6;75;6,9;3;0;12000
05/06/2020;30,3;68;10;1;0;12000
06/06/2020;28,7;76;9,8;1;0;12000
07/06/2020;28,7;75;5,8;1;0;12000
08/06/2020;28,6;74;3,3;2;0;12000
09/06/2020;28,9;74;8,8;2;0;12000
10/06/2020;28,9;71;8,2;2;0;12000
11/06/2020;28,8;71;9,5;1;0;12000
12/06/2020;28,6;69;9,6;2;0;12000
13/06/2020;28,6;70;9,5;2;0;12000
14/06/2020;28,5;79;8,9;2;21;12000
15/06/2020;29,6;81;1,5;2;4,6;12000
16/06/2020;29,2;77;4,6;2;2,5;12000
17/06/2020;28,7;74;9,3;1;0;12000
18/06/2020;29,4;72;9,2;2;0,24;12000
19/06/2020;29,2;76;9,4;2;0;12000
20/06/2020;28,2;72;8,8;2;0;12000
21/06/2020;28,8;72;4;2;0,4;12000
22/06/2020;29,2;73;3,7;3;0;12000
23/06/2020;28,5;72;9,2;2;0;12000
24/06/2020;28,7;75;9,2;2;0;12000
25/06/2020;28;72;9;2;0;12000
26/06/2020;27,9;70;8;1;0;12000
27/06/2020;28,2;67;9,2;1;0;12000
28/06/2020;28;70;9,7;1;0;12000
29/06/2020;28,6;74;9,6;2;0;12000
30/06/2020;28,5;70;8,2;2;0;12000
01/07/2020;28,7;71;9,1;2;0;12000
02/07/2020;29;71;9,5;2;0;12000
03/07/2020;28,3;71;9,3;2;0;12000
04/07/2020;27,9;70;9,8;2;0;12000
05/07/2020;27,8;73;9,8;2;0;12000
06/07/2020;27,2;81;5,8;2;0,2;12000
07/07/2020;28;75;2,5;2;0,6;12000
08/07/2020;28,4;74;8,5;1;0;12000
09/07/2020;28,2;73;8,6;1;0;12000
10/07/2020;28,6;69;9,8;2;0;12000
11/07/2020;28,5;68;9,2;2;0;12000
12/07/2020;29;72;9,2;1;0;12000
13/07/2020;29;74;7,8;2;0;12000
14/07/2020;28,7;73;9,4;3;0;12000
15/07/2020;27,1;84;6;2;10,04;11950
16/07/2020;28,7;76;2,5;2;13,9;11950
17/07/2020;29;74;8;3;0;11950
18/07/2020;28,8;66;10;1;0;11950
19/07/2020;29;69;9,9;1;0;11950
20/07/2020;29,3;69;9;3;0,46;11950
21/07/2020;29,3;75;7,2;3;0;11950
22/07/2020;29,3;71;9,1;2;0;11950
23/07/2020;28,7;70;10;2;0;11950
24/07/2020;27,8;71;9,7;1;0;11950
